,X,customer,traintest,churn,churndep,revenue,mou,recchrge,directas,overage,roam,changem,changer,dropvce,blckvce,unansvce,custcare,threeway,mourec,outcalls,incalls,peakvce,opeakvce,dropblk,callfwdv,callwait,months,uniqsubs,actvsubs,phones,models,eqpdays,age1,age2,children,credita,creditaa,prizmrur,prizmub,prizmtwn,refurb,webcap,truck,rv,occprof,occcler,occcrft,occstud,occhmkr,occret,occself,ownrent,marryun,marryyes,mailord,mailres,mailflag,travel,pcown,creditcd,retcalls,retaccpt,newcelly,newcelln,refer,incmiss,income,mcycle,setprcm,setprc,retcall
1,1,1000002,0,0,NA,57.49250031,482.75,37.42499924,0.247500002,22.75,0,532.25,50.98749924,8.333333015,1,61.33333206,1.666666627,0.333333343,55.27999878,46.33333206,6.333333492,83.66666412,157,9.333333015,0,5.666666508,56,1,1,7,6,240,30,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,5,0,0,149.9899902,0
2,2,1000006,0,0,NA,82.27500153,1312.25,75,1.237499952,0,0,156.75,8.145000458,52,7.666666508,76,4.333333492,1.333333373,200.3200073,370.3333435,147,555.666687,303.6666565,59.66666794,0,22.66666603,59,2,2,9,4,458,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,6,0,0,9.989997864,0
3,3,1000010,0,0,NA,31.66250038,25.5,29.98999977,0.247500002,0,0,59.5,4.027500153,0,1,2.333333254,0,0,0,0,0,1.666666627,1.666666627,1,0,0,57,2,2,2,2,601,52,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,9,0,0,29.98999023,0
4,4,1000011,0,0,NA,62.12749863,97.5,65.98500061,2.474999905,0,0,23.5,6.822500229,0,0.333333343,4,4,0,0,3.666666746,0,7.666666508,7.333333492,0.333333343,0,0,59,2,2,3,3,464,46,46,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,6,0,0,29.98999023,0
5,5,1000014,0,0,NA,25.22500038,2.5,25,0,0,0,-2.5,-0.224999994,0,0,0.333333343,0,0,1.133333325,0.333333343,0,0.666666687,0.666666687,0,0,0,53,2,2,2,2,354,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,29.98999023,0
6,6,1000015,0,0,NA,212.5149994,1971.5,84.98999786,2.227499962,249.5,35.49750137,-200.5,-106.7649994,9,0,43.66666794,0.333333343,0,718.0700073,49.33333206,4.666666508,351.6666565,128.6666718,9,0,1,59,5,1,10,6,199,30,22,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,3,0,0,79.98999023,0
7,7,1000016,0,0,NA,42.56499863,270.5,37.47999954,0.247500002,6,0,201.5,-1.784999967,3.333333254,1.666666627,7.666666508,1,0,57.0933342,11,3.666666746,62.33333206,18,5,0,0.333333343,55,2,2,5,4,697,58,58,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,29.98999023,0
8,8,1000018,0,0,NA,35.59000015,153,29.98999977,0,16,0,30,7.349999905,2,0.666666687,17.33333397,0,0,33.10666656,8,4.666666508,48.33333206,7,2.666666746,0,0.333333343,59,3,2,6,5,48,46,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,4,0,0,199.9899902,0
9,9,1000019,0,0,NA,55.27000046,1212.75,49.99000168,0.742500007,0,1.284999967,169.25,0.99000001,2.666666746,6,43.66666794,4.333333492,0,490.1266785,50.66666794,8.333333015,189.3333282,105,8.666666985,0,4.333333492,52,1,1,4,4,408,58,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,3,0,0,9.989997864,0
10,10,1000020,0,0,NA,50.96500015,162,69.98999786,0,2.5,0,-58,-0.975000024,1.666666627,0.333333343,9,0.333333343,0,38.37333298,34.33333206,5.666666508,19.33333397,42.33333206,2,0,0,56,1,1,4,3,253,30,30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,9.989997864,0
11,11,1000025,0,0,NA,25.49250031,299.5,24.98999977,0,0.75,0,-47.5,-0.502499998,2,0.666666687,14.33333302,1,0.333333343,77.48666382,6.333333492,5,45.66666794,52.33333206,2.666666746,0,0.333333343,52,2,2,2,2,752,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,29.98999023,0
12,12,1000028,0,0,NA,37.66249847,971.75,35.99000168,0.247500002,4.75,0,25.25,-1.672500014,4,0,42.66666794,0,0,244.6433258,20,8,206.3333282,170.3333282,4,0,0,58,1,1,2,2,452,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,29.98999023,1
13,13,1000030,0,0,NA,30.26000023,34.5,29.98999977,0,0,0,32.5,-0.270000011,0,0,0.666666687,0,0,0.519999981,0.333333343,0,14.33333302,0,0,0,0,52,1,1,2,2,319,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,29.98999023,0
14,14,1000032,0,0,NA,30,94,30,0,0,0,-54,0,2,1.666666627,5.333333492,0,0,19.50666618,1,0,26.33333397,19.33333397,3.666666746,0,0,54,1,1,2,2,1395,42,40,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,29.98999023,0
15,15,1000033,0,0,NA,35.55250168,138.75,34.99000168,0.247500002,0,0,-10.75,-0.5625,0,0.666666687,3.333333254,0,0,72.50666809,3.666666746,0.333333343,27.33333397,15.33333302,0.666666687,0,0.333333343,52,1,1,4,3,628,40,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,5,0,0,29.98999023,0
16,16,1000035,0,0,NA,28.5,65.75,30,0,0,0,41.25,0,0.333333343,0,1.333333373,0,0,25.9533329,4.333333492,0,31.66666603,6.333333492,0.333333343,0,0.333333343,56,2,1,2,2,917,48,54,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,9,1,0,29.98999023,0
17,17,1000036,0,0,NA,99.91249847,1193.75,75,0.495000005,97.25,0,-13.75,-0.162499994,11,5,53.33333206,2.666666746,0,287.9700012,91.33333588,12.33333302,370,65.66666412,16,0,11.66666698,54,1,1,4,3,258,28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0,0,9.989997864,0
